Italian,English
successo,success
ero,I was
donna,woman
nuovo,new one
ah,ah
faccio,I do
aveva,I had
nostro,our
degli,of the
questi,these
siete,you are
forza,force
piace,like it
bella,Pretty
dov',where
soldi,money
avevo,I had
favore,favor
fosse,is
altri,others
dispiace,sorry
subito,immediately
dentro,inside
oggi,today
accordo,agreement
tutta,all
faccia,face
nome,first name
ok,ok
notte,night
queste,these
figlio,son
mondo,world
nostra,our
sapere,know
vado,I'm going
tutte,all
aspetta,Wait
amare,love
moglie,wife
sicuro,Safe
suoi,his
penso,I think
paura,fear
idea,idea
testa,head
papà,dad
giusto,right
eh,eh
vorrei,I would like
senti,hear
presto,soon
uomini,men
ll,ll
basta,enough
potrebbe,could
stesso,same
avuto,had
porta,brings
erano,they were
stare,to stay
buona,good
quindi,so
farlo,to do it
appena,just
abbia,have
ragione,reason
sentito,heard
ragazzi,lads
domani,tomorrow
ragazza,lass
ragazzo,boy
insieme,together
sotto,under
volevo,I wanted
pronto,ready
nei,in the
ciò,that is
volte,times
capito,understood
succede,It happens
preso,taken
facendo,doing
piacere,pleasure
morto,died
tuoi,your
capitano,captain
letto,read
storia,history
caso,case
trovato,found
amici,friends
venire,come
dico,I say
capisco,I understand
problema,problem
fino,until
tipo,guy
là,there
qua,here
pensi,think
aver,have
giorni,days
cazzo,cock
okay,okay
nulla,nothing
bello,nice
persone,people
buon,good
terra,Earth
ia,ia
dato,given
secondo,according to
film,movie
nell',in the'
mano,but no
facciamo,let's make
vediamo,we see
vedo,I see
stanno,they are
avrei,I would have
prendere,take
dici,you say
serve,serve
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
ê,And
tesoro,treasure
scusi,excuse me
primo,first
credi,believe
salve,Hello
nave,ship
stiamo,we are
sera,evening
piano,floor
sento,I hear
macchina,car
vostro,your
mani,hands
neanche,not even
dall',by
dottore,doctor
quale,which
abbastanza,enough
tardi,late
bel,nice
cuore,heart
famiglia,family
far,make
stati,States
aiuto,Help
diavolo,Devil
nostri,our
col,with the
quasi,almost
polizia,police
capo,boss
avrebbe,it would have
quei,those
mie,my
tornare,return
però,However
contro,against
viene,he comes
mentre,while
scusa,excuse me
sola,alone
spero,I hope
quelle,those
trovare,to find
giro,round
anch',NS'
guerra,war
sue,his
bambino,child
strada,Street
vecchio,old
fratello,brother
acqua,water
stasera,this evening
pensavo,I thought
chiama,who loves
persona,person
vedi,you see
fu,was
anno,year
vostra,yours
veramente,truly
finito,all done
marito,husband
minuti,minutes
giù,below
donne,women
bravo,good boy
bambini,children
ricordi,memories
quelli,those
state,state
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,coming
indietro,back
stessa,itself
importa,it matters
nessun,no
punto,point
invece,instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,it should
pensa,thinks
poco,little
parla,speak out
farò,Lighthouse
cercando,looking for
l,L
verità,truth
andato,left
quell',that'
re,king
fanno,do
potrei,I could
importante,important
quest',This
amo,I love
chiesto,asked
cosi,as
nelle,in
felice,happy
piedi,feet
merda,shit
piccolo,little
prendi,you take
dietro,behind
sapevo,knew
buongiorno,Good morning
passato,past
dollari,dollars
com',com
pure,mashed potato
pensare,to think
cinque,five
vicino,near
uscire,go out
conosco,I know
verso,to
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you was
almeno,at least
dica,say
lascia,leaves
vivere,to live
colpa,guilt
portato,brought
entrare,enter
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,improve
fate,you do
difficile,hard
settimana,week
ultima,ultimate
dovrei,I should
fatta,made
conto,bill
